"Title:","Initial Unemployment Claims from the Unemployment Insurance Weekly Claims Insurance - Detail Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","04/06/1985 - 11/05/2022"
"Unit of Measure:","#","#","#","#","#"
"Citation:","Employment and Training Administration, United States Department of Labor (2022-11-11). Unemployment Insurance Weekly Claims Insurance - Detail: Initial Unemployment Claims | Alaska, California, Hawaii, New York, Wyoming | Non-Seasonally Adjusted, 04/06/1985 - 11/05/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  060-001-001 doi:https://doi.org/10.6068/DP1846838569328"
"ColumnCount:",6
"RowCount:",1938

"Time","Alaska, Non-Seasonally Adjusted, Initial Claims","California, Non-Seasonally Adjusted, Initial Claims","Hawaii, Non-Seasonally Adjusted, Initial Claims","New York, Non-Seasonally Adjusted, Initial Claims","Wyoming, Non-Seasonally Adjusted, Initial Claims"
"01/07/1989",1722,49531,1101,25847,1126
"01/14/1989",2222,53821,1366,25491,1184
"01/21/1989",1554,46464,1055,18742,861
"01/28/1989",1781,55398,884,20890,805
"02/04/1989",1443,52334,800,20909,904
"02/11/1989",1700,60147,1030,20367,1032
"02/18/1989",1551,48503,1202,20162,772
"02/25/1989",1144,47120,1029,18574,572
"03/04/1989",1349,52371,1468,19427,665
"03/11/1989",1298,57371,1134,18384,654
"03/18/1989",1242,51640,756,17888,632
"03/25/1989",1151,47908,651,19438,621
"04/01/1989",896,47382,771,20400,448
"04/08/1989",1773,47187,1143,18321,726
"04/15/1989",1344,44418,1234,16733,638
"04/22/1989",1222,47382,905,19649,514
"04/29/1989",1063,47699,495,17687,469
"05/06/1989",1169,49696,973,17885,507
"05/13/1989",957,46637,821,17776,441
"05/20/1989",961,42591,931,17149,526
"05/27/1989",957,41436,917,17374,431
"06/03/1989",902,38974,775,15379,472
"06/10/1989",1094,50118,988,18163,494
"06/17/1989",1033,47234,1006,18105,421
"06/24/1989",777,50058,1010,18881,439
"07/01/1989",885,49087,850,25287,407
"07/08/1989",915,42000,886,23780,431
"07/15/1989",996,49319,1007,21507,397
"07/22/1989",753,47404,867,17492,450
"07/29/1989",1006,46290,766,17572,381
"08/05/1989",839,47547,745,19875,361
"08/12/1989",780,46701,723,20451,365
"08/19/1989",751,43441,629,19187,380
"08/26/1989",770,40867,829,19001,347
"09/02/1989",1032,41051,668,16834,313
"09/09/1989",908,37925,865,16277,309
"09/16/1989",940,44745,804,18653,355
"09/23/1989",1083,50716,780,19110,367
"09/30/1989",1143,46017,736,17879,314
"10/07/1989",1812,52600,1060,52670,515
"10/14/1989",1432,41478,997,17241,433
"10/21/1989",1384,52115,900,20515,314
"10/28/1989",1970,64033,860,19703,355
"11/04/1989",1061,57459,725,20681,410
"11/11/1989",1197,49200,634,20198,334
"11/18/1989",1973,55938,724,24675,463
"11/25/1989",1193,32694,700,24393,268
"12/02/1989",1643,66249,929,28380,497
"12/09/1989",1453,57339,734,28757,471
"12/16/1989",1177,52887,682,25989,877
"12/23/1989",1379,53426,805,28119,892
"12/30/1989",937,42789,830,34181,602
"01/06/1990",2213,54631,965,32057,858
"01/13/1990",2781,67639,1443,37781,1099
"01/20/1990",2134,62836,1160,26035,718
"01/27/1990",1839,62148,2370,28404,820
"02/03/1990",1760,61902,1394,23478,746
"02/10/1990",1919,69000,994,24796,646
"02/17/1990",1811,56126,881,20555,851
"02/24/1990",1241,55267,673,19640,627
"03/03/1990",1730,58412,1230,23676,664
"03/10/1990",1584,61687,4891,22088,701
"03/17/1990",1331,56495,2394,19770,613
"03/24/1990",1288,52162,846,18977,485
"03/31/1990",1059,52124,784,18308,480
"04/07/1990",1766,54846,1381,20143,611
"04/14/1990",1424,49442,911,24655,611
"04/21/1990",1403,50768,1054,22172,529
"04/28/1990",1226,50351,925,20504,458
"05/05/1990",1343,54459,903,20361,481
"05/12/1990",1494,56679,904,18597,402
"05/19/1990",1453,52322,852,18560,379
"05/26/1990",1236,52233,808,19484,372
"06/02/1990",1119,53292,795,15804,332
"06/09/1990",1132,54405,1000,20843,362
"06/16/1990",1049,55799,840,18778,376
"06/23/1990",1119,60822,1003,18733,410
"06/30/1990",994,59882,871,24627,317
"07/07/1990",1094,57051,1000,25187,469
"07/14/1990",1163,60048,906,27827,377
"07/21/1990",1202,56853,879,22519,307
"07/28/1990",1104,58255,833,18625,382
"08/04/1990",956,57267,843,21079,376
"08/11/1990",917,59599,827,22047,312
"08/18/1990",1067,51316,583,18910,330
"08/25/1990",1069,55730,684,18826,351
"09/01/1990",992,52646,682,17149,338
"09/08/1990",974,49744,746,17844,338
"09/15/1990",1339,59500,845,20624,334
"09/22/1990",1213,61969,658,19379,375
"09/29/1990",1135,60638,714,18521,366
"10/06/1990",2299,73377,867,22536,454
"10/13/1990",1943,60959,847,20117,475
"10/20/1990",1640,70692,794,24802,278
"10/27/1990",1997,68916,845,23511,337
"11/03/1990",1966,72669,781,24773,575
"11/10/1990",1698,76731,813,28107,908
"11/17/1990",1669,68797,884,28512,602
"11/24/1990",1658,57737,1428,27894,496
"12/01/1990",1932,75521,1633,33237,907
"12/08/1990",1700,77413,1003,32590,761
"12/15/1990",1526,74377,827,33403,756
"12/22/1990",1688,74399,930,32759,988
"12/29/1990",1301,58733,1423,32078,748
"01/05/1991",2038,53905,1414,36237,428
"01/12/1991",2824,92167,1688,47214,1294
"01/19/1991",2103,80037,1146,36384,805
"01/26/1991",1895,74236,1189,29351,720
"02/02/1991",1965,82811,1489,33792,803
"02/09/1991",2299,93690,1713,34071,852
"02/16/1991",1540,73543,1499,30616,702
"02/23/1991",1760,72737,1462,26257,738
"03/02/1991",1915,78410,1501,30507,657
"03/09/1991",1758,92983,1632,29443,657
"03/16/1991",1687,82197,1446,29433,643
"03/23/1991",1616,88283,1796,27616,572
"03/30/1991",1393,81314,1453,25897,560
"04/06/1991",2103,77421,1554,28223,586
"04/13/1991",1662,69532,1539,29007,722
"04/20/1991",1807,67569,1254,27732,697
"04/27/1991",1570,65951,1060,26135,577
"05/04/1991",1723,69594,1090,25141,525
"05/11/1991",1713,69046,1060,24409,516
"05/18/1991",1697,69035,1109,21222,508
"05/25/1991",1438,64910,1038,22023,428
"06/01/1991",1233,56451,967,18537,362
"06/08/1991",1667,69618,1214,23967,488
"06/15/1991",1316,65891,1307,21702,457
"06/22/1991",1335,73829,1231,22344,489
"06/29/1991",1182,70922,1039,28274,444
"07/06/1991",1582,65843,1129,32616,460
"07/13/1991",1594,70111,1437,34887,527
"07/20/1991",1466,76844,1126,26715,418
"07/27/1991",1363,73426,978,23841,366
"08/03/1991",1326,73988,1083,26505,380
"08/10/1991",1209,70385,1117,25054,386
"08/17/1991",1148,68287,1021,21824,397
"08/24/1991",1222,62475,1043,21393,391
"08/31/1991",1310,65359,1120,21129,452
"09/07/1991",1244,55885,1210,19553,422
"09/14/1991",1681,68623,1242,24223,447
"09/21/1991",1523,71009,1121,21908,427
"09/28/1991",1536,71899,987,21721,462
"10/05/1991",2432,75277,1108,23653,494
"10/12/1991",2194,75373,1278,23224,613
"10/19/1991",1568,68676,1279,19947,588
"10/26/1991",2197,78545,2064,24036,745
"11/02/1991",2607,84707,1196,23758,1326
"11/09/1991",2256,86286,1188,27802,968
"11/16/1991",1905,75746,1074,25664,728
"11/23/1991",2001,86511,1290,25979,961
"11/30/1991",1700,59642,1006,28915,672
"12/07/1991",1935,89364,1493,36645,1121
"12/14/1991",1996,79468,1137,33619,868
"12/21/1991",2297,79044,1299,31527,852
"12/28/1991",1717,74204,1172,31978,889
"01/04/1992",2695,74005,1161,37880,857
"01/11/1992",3017,102065,2222,51410,1351
"01/18/1992",2458,87591,1626,40489,962
"01/25/1992",2345,81424,1217,28876,766
"02/01/1992",2380,83488,1274,32952,807
"02/08/1992",2211,104126,1431,34480,813
"02/15/1992",1731,92960,1066,30587,773
"02/22/1992",1525,90172,1466,24146,632
"02/29/1992",1739,89460,1356,30558,703
"03/07/1992",2081,86730,1614,29982,717
"03/14/1992",2088,84205,1433,26040,781
"03/21/1992",1717,79228,1336,28329,635
"03/28/1992",1841,78264,1251,23886,565
