"Title:","Initial Unemployment Claims from the Unemployment Insurance Weekly Claims Insurance - Detail Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","04/06/1985 - 11/05/2022"
"Unit of Measure:","#","#","#","#","#"
"Citation:","Employment and Training Administration, United States Department of Labor (2022-11-11). Unemployment Insurance Weekly Claims Insurance - Detail: Initial Unemployment Claims | Alaska, California, Hawaii, New York, Wyoming | Non-Seasonally Adjusted, 04/06/1985 - 11/05/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  060-001-001 doi:https://doi.org/10.6068/DP1846838569328"
"ColumnCount:",6
"RowCount:",1938

"Time","Alaska, Non-Seasonally Adjusted, Initial Claims","California, Non-Seasonally Adjusted, Initial Claims","Hawaii, Non-Seasonally Adjusted, Initial Claims","New York, Non-Seasonally Adjusted, Initial Claims","Wyoming, Non-Seasonally Adjusted, Initial Claims"
"12/01/2007",1911,55964,1377,29699,520
"12/08/2007",1843,55559,1659,20467,535
"12/15/2007",1695,50234,1869,22429,739
"12/22/2007",1810,56547,1179,21207,518
"12/29/2007",1385,42187,984,22768,648
"01/05/2008",1584,44001,1285,53063,452
"01/12/2008",3181,71059,1912,27691,719
"01/19/2008",2097,56853,1410,21997,552
"01/26/2008",1701,57122,1264,19963,622
"02/02/2008",1893,54190,1363,21065,446
"02/09/2008",1634,62024,1596,20017,468
"02/16/2008",1481,46032,1469,18568,409
"02/23/2008",1475,49014,1136,18517,319
"03/01/2008",1461,49869,1338,32212,324
"03/08/2008",1588,53926,1370,18706,407
"03/15/2008",1540,48968,1227,16535,433
"03/22/2008",1552,48011,1042,18049,403
"03/29/2008",1507,45744,1363,22159,361
"04/05/2008",1267,48109,2647,19714,407
"04/12/2008",2013,57103,1782,18272,556
"04/19/2008",1648,52007,1546,16662,372
"04/26/2008",1402,50392,1483,21280,303
"05/03/2008",1481,48611,1706,32712,289
"05/10/2008",1394,48394,1451,17472,292
"05/17/2008",1344,47386,1428,16055,318
"05/24/2008",1449,46705,1460,17174,309
"05/31/2008",1381,41941,1438,17035,456
"06/07/2008",1346,52836,1923,18569,358
"06/14/2008",1317,50761,1383,16206,316
"06/21/2008",1151,55852,1841,16955,269
"06/28/2008",1110,54520,1546,19893,259
"07/05/2008",830,49821,1315,25607,245
"07/12/2008",1576,59428,1672,39514,341
"07/19/2008",1197,57845,1819,19062,280
"07/26/2008",1267,61572,1607,17487,284
"08/02/2008",1215,62905,1765,17883,277
"08/09/2008",1722,58667,1640,20582,287
"08/16/2008",1353,50946,1416,18416,225
"08/23/2008",1319,51348,1719,19899,258
"08/30/2008",1277,51439,1802,21479,271
"09/06/2008",1124,48218,1888,18213,301
"09/13/2008",1129,53002,2122,19642,340
"09/20/2008",1288,53056,1926,17675,289
"09/27/2008",1372,53801,2006,18386,306
"10/04/2008",1546,59884,2092,20819,375
"10/11/2008",2111,62502,2092,26083,513
"10/18/2008",1668,62517,2052,19988,301
"10/25/2008",2113,67062,2128,23158,509
"11/01/2008",2090,63459,2135,23458,536
"11/08/2008",2227,78991,2185,27157,750
"11/15/2008",1897,69501,2067,26688,660
"11/22/2008",2097,80299,2382,29991,688
"11/29/2008",1553,60318,2065,28022,597
"12/06/2008",2009,83084,2809,39623,896
"12/13/2008",1652,66478,2545,32824,920
"12/20/2008",1833,87588,2624,32790,1165
"12/27/2008",1237,77656,2145,30161,779
"01/03/2009",1512,62809,2225,54578,859
"01/10/2009",4160,85139,3211,52775,1293
"01/17/2009",2653,87104,2497,40397,1041
"01/24/2009",2218,75111,2442,33406,904
"01/31/2009",2808,95112,2595,32569,987
"02/07/2009",2452,89778,2687,35788,955
"02/14/2009",2072,73209,2441,31785,975
"02/21/2009",1777,75975,2053,28450,932
"02/28/2009",1972,83762,2391,44643,965
"03/07/2009",2107,82156,2648,33592,1028
"03/14/2009",2014,71771,2548,31123,1067
"03/21/2009",1994,79623,2793,28040,1037
"03/28/2009",1904,73443,2239,27772,1077
"04/04/2009",1808,68225,2536,27393,1203
"04/11/2009",3166,74656,2389,30841,1478
"04/18/2009",2302,83455,2720,37600,947
"04/25/2009",2029,72336,2496,40067,780
"05/02/2009",2134,70656,2617,26793,835
"05/09/2009",2002,60936,2585,27224,819
"05/16/2009",1850,66482,2707,26456,759
"05/23/2009",1912,67205,2389,25715,672
"05/30/2009",2077,63302,2337,25526,719
"06/06/2009",1969,68453,3006,30203,908
"06/13/2009",1780,70933,2490,24854,874
"06/20/2009",1615,85561,2807,25145,706
"06/27/2009",1602,82120,2555,28189,633
"07/04/2009",1385,77652,2212,37159,552
"07/11/2009",2152,76313,2857,49737,694
"07/18/2009",1796,80730,2466,27619,768
"07/25/2009",1925,79650,2555,23951,637
"08/01/2009",1553,72461,2517,23009,586
"08/08/2009",1487,66849,2497,24631,656
"08/15/2009",1552,60464,2464,23600,624
"08/22/2009",1653,68892,2310,23796,654
"08/29/2009",1869,68434,2656,28369,638
"09/05/2009",1835,65898,2620,25909,659
"09/12/2009",1636,63355,2346,24047,593
"09/19/2009",1960,68609,2550,23465,600
"09/26/2009",2027,73297,2339,21170,653
"10/03/2009",2142,69084,2323,22318,784
"10/10/2009",2840,62232,2655,27768,1194
"10/17/2009",2473,68392,2573,23087,1043
"10/24/2009",2320,82763,2196,25332,891
"10/31/2009",2432,75580,2249,23302,1034
"11/07/2009",2461,76612,2408,26719,1067
"11/14/2009",2416,69127,2686,25640,880
"11/21/2009",2629,83868,2491,27258,1067
"11/28/2009",1886,55625,2433,23857,904
"12/05/2009",2409,83563,2796,40236,1216
"12/12/2009",1979,73236,2168,26758,1483
"12/19/2009",2509,80295,2665,27877,1116
"12/26/2009",2157,57356,2035,25832,782
"01/02/2010",1671,55355,2152,48725,930
"01/09/2010",4901,71182,3358,55792,1923
"01/16/2010",3938,114793,2447,33441,1060
"01/23/2010",3145,92225,2465,26749,783
"01/30/2010",3088,94026,2250,26867,960
"02/06/2010",2603,80527,2404,27537,857
"02/13/2010",2368,75183,2446,24822,802
"02/20/2010",2265,63361,2248,24837,452
"02/27/2010",2337,79407,2194,37077,732
"03/06/2010",2345,71929,2059,26160,829
"03/13/2010",2593,74787,2438,22083,743
"03/20/2010",2137,69961,2618,21328,422
"03/27/2010",2196,70933,2101,21952,728
"04/03/2010",1555,68420,2317,21610,748
"04/10/2010",3886,91854,2826,45582,1299
"04/17/2010",3117,77129,2266,24523,752
"04/24/2010",3146,83355,2027,21952,596
"05/01/2010",2670,64710,2113,25957,941
"05/08/2010",2261,73213,2238,22815,645
"05/15/2010",2283,71045,2162,21821,839
"05/22/2010",2241,69877,2550,23399,650
"05/29/2010",2294,71836,2457,24119,642
"06/05/2010",1883,61530,2279,21969,592
"06/12/2010",2060,78701,2540,23499,653
"06/19/2010",1818,75146,1818,19963,545
"06/26/2010",1703,77729,1792,23490,503
"07/03/2010",1582,80048,2657,31509,510
"07/10/2010",2308,71660,2655,49607,591
"07/17/2010",2211,91430,2221,30026,456
"07/24/2010",2218,72973,2064,22226,488
"07/31/2010",2044,71724,2297,23410,475
"08/07/2010",1851,75857,2172,24157,635
"08/14/2010",1783,70683,2401,23365,565
"08/21/2010",2008,64422,1830,23536,514
"08/28/2010",2046,60196,2065,28472,513
"09/04/2010",2067,61018,2357,25599,560
"09/11/2010",1969,50362,1871,22205,441
"09/18/2010",2309,65421,2123,24449,525
"09/25/2010",2392,74349,1949,20815,544
"10/02/2010",2668,68065,2136,21032,587
"10/09/2010",3894,76054,2119,29595,776
"10/16/2010",3293,62455,2193,23218,778
"10/23/2010",2975,66198,2037,23818,699
"10/30/2010",3071,72534,1870,23034,870
"11/06/2010",3239,72330,2112,25142,896
"11/13/2010",2895,67359,2089,24866,815
"11/20/2010",3028,71781,1836,25807,963
"11/27/2010",2283,63632,1534,22504,1010
"12/04/2010",3144,77081,2391,39324,1002
"12/11/2010",2574,78231,1967,26930,797
"12/18/2010",2474,70529,1975,27138,823
"12/25/2010",2151,86581,2022,29099,832
"01/01/2011",1926,72882,2718,37565,736
"01/08/2011",4655,90439,2875,61931,1485
"01/15/2011",3756,76032,2342,33165,1073
"01/22/2011",2815,62534,2363,27558,762
"01/29/2011",2788,74358,2046,27991,733
"02/05/2011",2400,72740,1985,26350,815
"02/12/2011",2238,69807,2111,26419,693
"02/19/2011",2429,67584,2092,22144,708
"02/26/2011",2169,54960,1612,20835,608
"03/05/2011",2331,68273,2104,38809,597
"03/12/2011",2094,62714,2223,21931,665
"03/19/2011",2149,60448,2229,20767,591
"03/26/2011",1979,63875,1833,20559,524
"04/02/2011",1924,56017,2100,20941,631
"04/09/2011",3634,81661,2410,24051,622
"04/16/2011",3048,63753,2118,21862,696
"04/23/2011",2800,63239,1666,22151,565
"04/30/2011",2595,60311,1873,46565,547
"05/07/2011",2294,64211,2203,23151,487
"05/14/2011",1800,57325,2439,20600,502
"05/21/2011",2061,64344,2001,21122,582
"05/28/2011",2125,62167,1894,24231,583
"06/04/2011",1999,60455,1926,20279,530
"06/11/2011",1876,63740,2280,21496,501
"06/18/2011",1740,68800,1912,19272,404
"06/25/2011",1694,74026,1770,21881,434
"07/02/2011",1544,76178,2072,28076,386
"07/09/2011",2373,60423,1930,48711,494
"07/16/2011",2255,80846,2052,31267,394
"07/23/2011",2207,57150,1787,23268,428
"07/30/2011",1908,56255,1835,21120,343
"08/06/2011",1795,64114,1970,21480,376
"08/13/2011",1763,53325,1834,26523,344
"08/20/2011",1776,53954,1656,26295,348
"08/27/2011",1946,57379,1871,25693,381
"09/03/2011",1987,56660,1917,22821,423
"09/10/2011",1838,53238,1653,21683,375
"09/17/2011",2138,54217,1851,26052,400
"09/24/2011",2250,53076,1616,20275,434
"10/01/2011",2262,55899,1743,20030,453
"10/08/2011",3985,69701,2118,28566,691
"10/15/2011",3255,60762,1944,21332,619
"10/22/2011",2983,67960,1976,23790,649
"10/29/2011",3272,62263,1764,22159,717
"11/05/2011",3380,63755,1910,23406,839
"11/12/2011",2593,54044,1818,21294,622
"11/19/2011",3607,73254,2176,26610,697
"11/26/2011",2389,46120,1476,21983,688
"12/03/2011",3003,73771,2293,36043,1186
"12/10/2011",2426,58340,1723,24565,798
"12/17/2011",2349,62984,1872,25703,714
"12/24/2011",2311,79568,2186,25615,824
"12/31/2011",1742,55577,2047,33375,667
"01/07/2012",3946,77696,2566,62758,1020
"01/14/2012",3352,79456,2269,34362,798
"01/21/2012",2813,58743,1742,24955,742
"01/28/2012",3043,63194,1987,26262,685
"02/04/2012",2371,69127,1918,25462,597
"02/11/2012",2147,60602,2003,22975,588
"02/18/2012",2039,59124,1791,21785,567
"02/25/2012",1890,54763,1602,20508,524
"03/03/2012",2018,59128,1803,36971,608
"03/10/2012",2419,54285,1864,22621,573
"03/17/2012",2341,52784,2333,19594,483
"03/24/2012",1966,54859,1683,20147,362
"03/31/2012",1766,54204,1576,18883,476
"04/07/2012",3474,60743,2012,23039,799
"04/14/2012",2823,63731,1947,26377,758
"04/21/2012",2927,62662,1787,41824,570
"04/28/2012",2469,56004,1645,20586,455
"05/05/2012",2141,57816,1832,22916,506
"05/12/2012",1913,54366,1673,19802,437
"05/19/2012",2024,56894,1783,19764,493
"05/26/2012",2130,56586,1826,21265,489
"06/02/2012",1821,52409,1887,20589,508
"06/09/2012",1695,65479,2075,22009,497
"06/16/2012",1543,57319,1698,19123,445
"06/23/2012",1554,65635,1766,21247,438
"06/30/2012",1349,66366,1836,25680,380
"07/07/2012",2025,57751,1989,48029,525
"07/14/2012",2039,83736,1932,37238,416
"07/21/2012",1843,51651,1660,21636,416
"07/28/2012",1658,46847,1605,24859,383
"08/04/2012",1539,50126,1644,22223,382
"08/11/2012",1638,58135,1651,21341,414
"08/18/2012",1551,52563,1375,21728,456
"08/25/2012",1716,50812,1686,24842,408
"09/01/2012",1792,50757,1483,24154,426
"09/08/2012",1571,42604,1586,20726,418
"09/15/2012",1927,61126,1720,22696,394
"09/22/2012",1984,47380,1632,18948,475
"09/29/2012",2125,49411,1518,21692,439
"10/06/2012",2132,44593,1767,24351,626
"10/13/2012",3515,71376,1889,20970,743
"10/20/2012",2683,54891,1874,21638,670
"10/27/2012",3152,55933,1511,21513,722
"11/03/2012",2954,47692,1603,19225,729
"11/10/2012",3128,72388,1536,63237,722
"11/17/2012",2799,46433,1558,32589,687
"11/24/2012",2369,39349,1360,25948,600
"12/01/2012",2977,63737,1760,36935,742
"12/08/2012",2629,69490,1710,25669,767
"12/15/2012",2331,62648,1647,22722,809
"12/22/2012",2499,50989,1855,25151,837
"12/29/2012",1788,53007,1576,25060,812
"01/05/2013",1833,61785,2247,62247,725
"01/12/2013",3805,71894,2492,34734,1066
"01/19/2013",2902,68286,1782,27334,802
"01/26/2013",2557,47902,1587,26704,575
"02/02/2013",2476,59805,1808,28799,656
"02/09/2013",2152,54731,1839,24340,569
"02/16/2013",2101,81454,1659,22677,497
"02/23/2013",1945,41188,1795,20593,541
"03/02/2013",2123,52674,1947,28485,532
"03/09/2013",2166,46601,1793,21268,524
"03/16/2013",2081,49669,1730,19146,479
"03/23/2013",1809,58350,1572,19293,493
"03/30/2013",1713,55779,1414,20295,500
"04/06/2013",1950,42935,2126,40408,538
"04/13/2013",3161,67206,2016,26318,1150
"04/20/2013",2724,50471,1760,19859,809
"04/27/2013",2854,46907,1620,18749,581
"05/04/2013",2448,46822,1893,18580,436
"05/11/2013",1991,61601,1793,19066,430
"05/18/2013",1879,45220,1731,19265,413
"05/25/2013",1962,53918,1636,19267,505
"06/01/2013",1642,45418,1812,20253,427
"06/08/2013",1880,44294,2199,21618,449
"06/15/2013",1482,59299,1680,19513,421
"06/22/2013",1469,65541,1752,21405,399
"06/29/2013",1400,55783,1559,24178,390
"07/06/2013",1094,52265,1735,39399,362
"07/13/2013",2090,59008,2050,34622,460
"07/20/2013",1669,66564,1544,19577,409
"07/27/2013",1616,44887,1605,18494,375
"08/03/2013",1594,49037,1794,17774,411
"08/10/2013",1434,44903,1838,18528,416
"08/17/2013",1417,50619,1399,18994,364
"08/24/2013",1220,48055,1671,22550,500
"08/31/2013",1290,43176,1639,21333,426
"09/07/2013",1209,17975,1657,19082,380
"09/14/2013",1407,40579,1780,20932,400
"09/21/2013",1427,36833,1692,18567,383
"09/28/2013",1728,37861,1497,16884,382
"10/05/2013",2619,71498,3005,18945,914
"10/12/2013",2528,83285,2300,21382,843
"10/19/2013",1743,70249,1736,18605,715
"10/26/2013",2046,65741,1810,20610,556
"11/02/2013",1880,63333,1573,20188,663
"11/09/2013",2144,67992,1718,23039,690
"11/16/2013",1642,63384,1478,20806,515
"11/23/2013",1918,71715,1703,22266,645
"11/30/2013",1521,51862,1406,20037,528
"12/07/2013",1825,73632,1920,34333,1149
"12/14/2013",1559,78272,1659,21632,820
"12/21/2013",1630,72830,1626,24910,602
"12/28/2013",1340,58227,1694,23739,657
"01/04/2014",1453,54739,2364,52047,581
"01/11/2014",2493,62970,2558,33996,952
"01/18/2014",1885,74748,1869,28485,672
"01/25/2014",1652,72413,1598,21403,508
"02/01/2014",1732,62790,1827,26250,547
"02/08/2014",1578,63908,1966,23549,733
"02/15/2014",1480,69706,1783,22633,435
"02/22/2014",1341,64864,1368,19030,384
"03/01/2014",1437,59035,1506,37702,446
"03/08/2014",1407,57717,1584,20192,436
"03/15/2014",1400,60911,1680,18064,446
"03/22/2014",1298,52206,1559,17842,406
"03/29/2014",1335,69853,1700,18288,405
"04/05/2014",1281,55998,1840,17933,554
"04/12/2014",1805,65147,1789,18401,762
"04/19/2014",1502,62283,1584,16673,447
"04/26/2014",1468,61095,1601,40197,391
"05/03/2014",1417,57347,1592,19570,377
"05/10/2014",1385,49657,1649,18183,347
"05/17/2014",1291,54138,1605,16775,460
"05/24/2014",1509,52972,1640,18161,348
"05/31/2014",1396,51099,1587,17597,325
"06/07/2014",1287,61019,2090,18233,388
"06/14/2014",1149,61699,1659,16159,323
"06/21/2014",1098,62235,1780,17588,257
"06/28/2014",1010,54931,1361,18497,259
"07/05/2014",802,50958,1403,23765,261
"07/12/2014",1232,62075,1658,38193,348
"07/19/2014",980,55854,1386,19532,285
"07/26/2014",985,54141,1414,17134,260
"08/02/2014",962,44865,1379,16087,221
"08/09/2014",1021,54983,1191,18008,268
"08/16/2014",1102,46194,1578,17113,262
"08/23/2014",1135,47076,1607,19661,283
"08/30/2014",1182,48636,1384,20930,297
"09/06/2014",962,37681,1301,18125,262
"09/13/2014",1201,42927,1418,18904,381
"09/20/2014",1237,51743,1425,15865,245
"09/27/2014",1291,44004,1338,15152,288
"10/04/2014",1364,45867,1443,19912,351
"10/11/2014",1827,46608,1483,19298,458
"10/18/2014",1429,49372,1434,16339,394
"10/25/2014",1575,52260,1536,18958,468
"11/01/2014",1610,48445,1388,18240,488
"11/08/2014",1992,57975,1454,19040,518
"11/15/2014",1704,40383,1332,20237,985
"11/22/2014",1787,59465,1449,21076,694
"11/29/2014",1284,45715,1159,24045,433
"12/06/2014",1613,51756,1844,30039,550
"12/13/2014",1446,63519,1461,20247,449
"12/20/2014",1525,47410,1344,21747,554
"12/27/2014",1231,53925,1542,19954,677
"01/03/2015",1240,40699,2018,41461,728
"01/10/2015",2244,66844,2123,38971,981
"01/17/2015",1648,62025,1617,26714,698
"01/24/2015",1442,40540,1485,19806,607
"01/31/2015",1525,58614,1548,19507,600
"02/07/2015",1419,60952,1505,23729,720
"02/14/2015",1328,46794,1372,19914,619
"02/21/2015",1155,42949,1177,17392,584
"02/28/2015",1174,47498,1454,38464,714
"03/07/2015",1185,45644,1441,19342,706
"03/14/2015",1227,46640,1392,17153,573
"03/21/2015",1085,44128,1234,16651,550
"03/28/2015",1110,43139,1261,16984,513
"04/04/2015",993,39552,1203,15995,552
"04/11/2015",1383,50106,1473,24362,880
"04/18/2015",1172,51381,1344,33276,606
"04/25/2015",1189,47122,1304,15748,482
"05/02/2015",1083,45340,1361,16567,393
"05/09/2015",1155,45162,1506,14876,537
"05/16/2015",1211,42642,1236,15826,467
"05/23/2015",1384,42556,1235,16197,531
"05/30/2015",1208,34719,1133,15645,484
"06/06/2015",1258,45593,1558,16504,526
"06/13/2015",1018,43043,1305,15092,439
"06/20/2015",824,45226,1435,15247,320
"06/27/2015",842,48166,1120,16820,347
"07/04/2015",795,53876,1072,23275,310
"07/11/2015",1064,46866,1541,38936,489
"07/18/2015",903,48830,1271,17864,367
"07/25/2015",862,44970,1234,15393,326
"08/01/2015",839,41795,1093,14144,310
"08/08/2015",901,44265,1213,15698,371
"08/15/2015",845,44144,1204,15461,326
"08/22/2015",967,42845,957,16299,399
"08/29/2015",991,41519,1384,20951,346
"09/05/2015",1042,42043,1573,16848,380
"09/12/2015",977,36793,1117,14002,341
"09/19/2015",1107,40502,1225,15879,380
"09/26/2015",1185,40108,1029,16565,426
"10/03/2015",1238,42437,1110,14946,467
"10/10/2015",1710,44206,1166,17214,463
"10/17/2015",1490,43519,1206,15039,532
"10/24/2015",1521,45790,1134,16871,595
"10/31/2015",1562,47947,1031,16114,591
"11/07/2015",1905,47563,1085,18311,726
"11/14/2015",1684,45792,968,18272,612
"11/21/2015",1764,53720,1132,19658,775
"11/28/2015",1226,33447,871,16661,688
"12/05/2015",1782,55828,1702,29737,894
"12/12/2015",1424,55799,1090,19456,742
"12/19/2015",1428,52826,1047,18358,842
"12/26/2015",1182,43007,1113,19078,717
"01/02/2016",1131,40790,1599,34260,736
"01/09/2016",2168,58179,1714,41006,1199
"01/16/2016",1659,74572,1245,23563,928
"01/23/2016",1476,53296,994,20339,755
"01/30/2016",1478,50377,1117,19926,788
"02/06/2016",1306,48888,1148,19935,900
"02/13/2016",1258,47493,1017,17905,717
"02/20/2016",1100,41983,987,16575,699
"02/27/2016",1151,46308,1088,34547,692
"03/05/2016",1287,45053,1169,17030,742
"03/12/2016",1176,46415,1144,15505,725
"03/19/2016",1248,44005,1072,14450,575
"03/26/2016",1153,43503,1054,15792,768
"04/02/2016",1121,36384,1410,20358,752
"04/09/2016",1344,48949,1366,18106,1206
"04/16/2016",1293,50068,1294,15598,699
"04/23/2016",1134,46512,1210,15576,603
"04/30/2016",1098,42593,1188,18398,856
"05/07/2016",1096,41788,1217,32963,627
"05/14/2016",1095,43434,1249,17077,512
"05/21/2016",1135,40477,1241,15499,574
"05/28/2016",1194,44307,1142,15923,530
"06/04/2016",1173,35263,1372,15104,528
"06/11/2016",1072,54022,1339,15978,518
"06/18/2016",944,44503,1282,13538,467
"06/25/2016",884,49680,1126,15468,439
"07/02/2016",925,45835,1160,20157,376
"07/09/2016",889,39060,1406,33244,477
"07/16/2016",979,44023,1244,21244,358
"07/23/2016",902,42478,1089,14126,377
"07/30/2016",841,42949,1096,13722,361
"08/06/2016",997,43329,1187,14594,400
"08/13/2016",1025,41676,1043,14259,392
"08/20/2016",1111,38712,986,14134,375
"08/27/2016",1019,40327,1339,19038,404
"09/03/2016",1107,40164,1340,15792,391
"09/10/2016",998,35541,1240,14068,397
"09/17/2016",1230,38694,1247,14514,383
"09/24/2016",1253,37956,1186,12614,367
"10/01/2016",1251,38210,1056,12727,393
"10/08/2016",1648,43375,1276,14814,593
"10/15/2016",1461,45953,1097,17003,533
"10/22/2016",1443,44328,1355,15753,534
"10/29/2016",1675,46269,1145,14899,498
"11/05/2016",1854,47234,1239,17113,654
"11/12/2016",1631,39351,930,15709,538
"11/19/2016",1790,53576,1369,17456,671
"11/26/2016",1246,42261,949,15294,634
"12/03/2016",1665,53715,1680,30354,823
"12/10/2016",1465,50550,1233,17253,879
"12/17/2016",1403,50149,1275,17701,709
"12/24/2016",1356,52651,1395,21249,711
"12/31/2016",1265,37923,1233,23203,607
"01/07/2017",1956,43914,2058,46217,892
"01/14/2017",1566,60805,1488,24064,765
"01/21/2017",1412,61813,1165,17366,509
"01/28/2017",1433,53682,1320,17651,548
"02/04/2017",1356,45334,1261,18544,537
"02/11/2017",1340,49582,1313,17159,552
"02/18/2017",1160,48816,1326,17024,338
"02/25/2017",1015,43232,1131,15053,415
"03/04/2017",1183,45102,1239,32721,566
"03/11/2017",1219,45666,1281,16117,379
"03/18/2017",1156,40934,1137,14555,348
"03/25/2017",1058,42533,1130,20817,337
"04/01/2017",1017,35305,1278,13793,365
"04/08/2017",1401,43681,1535,15255,583
"04/15/2017",1225,47030,1105,15332,497
"04/22/2017",1144,45049,1305,31652,348
"04/29/2017",997,43841,1216,17681,383
"05/06/2017",1117,43019,1309,14865,327
"05/13/2017",950,37508,1210,15413,286
"05/20/2017",1094,37958,1308,14382,363
"05/27/2017",1325,42773,1100,15709,369
"06/03/2017",1137,34471,1394,14537,310
"06/10/2017",1093,40875,1519,15368,327
"06/17/2017",1129,42489,1130,13592,281
"06/24/2017",1145,46625,1304,15169,261
"07/01/2017",876,45959,1102,17948,205
"07/08/2017",855,37766,1322,31836,331
"07/15/2017",820,44612,1388,23539,270
"07/22/2017",833,44915,1102,14408,228
"07/29/2017",882,42409,1131,12892,227
"08/05/2017",845,39473,1216,13689,215
"08/12/2017",860,37034,1178,13983,227
"08/19/2017",875,37776,996,14399,218
"08/26/2017",898,38756,1351,18946,213
"09/02/2017",906,37710,1184,16754,230
"09/09/2017",857,30360,1108,13827,253
"09/16/2017",951,39799,1148,14537,256
"09/23/2017",1048,39288,1098,12001,266
"09/30/2017",1032,37306,1155,15418,290
"10/07/2017",1422,41811,1298,14305,400
"10/14/2017",1228,40924,1164,13455,429
"10/21/2017",1241,41792,1348,14576,392
"10/28/2017",1481,43220,1231,13794,387
"11/04/2017",1646,43598,1239,14844,575
"11/11/2017",1442,44845,996,17916,467
"11/18/2017",1695,50942,1489,17834,509
"11/25/2017",1292,35883,915,14188,448
"12/02/2017",1603,54201,1410,25964,529
"12/09/2017",1349,47709,1285,15701,646
"12/16/2017",1231,47643,1084,17840,492
"12/23/2017",1172,45158,1183,20471,602
"12/30/2017",1197,35300,1333,22444,671
"01/06/2018",1222,47261,1956,49325,561
"01/13/2018",1699,58906,1572,22969,756
"01/20/2018",1238,51673,1062,18019,441
"01/27/2018",1329,48931,1349,18237,467
"02/03/2018",1274,43597,1171,17090,349
"02/10/2018",1192,41083,1332,16054,375
"02/17/2018",1108,40166,1261,15059,377
"02/24/2018",1029,31033,1231,13681,446
"03/03/2018",1033,42650,1217,31931,293
"03/10/2018",1035,44498,1226,13775,506
"03/17/2018",1011,42083,1031,14950,282
"03/24/2018",1024,39115,1157,13767,348
"03/31/2018",1048,39094,1067,13214,332
"04/07/2018",1225,41012,1541,16512,488
"04/14/2018",1088,44989,1348,31885,540
"04/21/2018",984,40627,1193,13409,284
"04/28/2018",944,39901,1339,13406,251
"05/05/2018",865,39017,1261,13158,283
"05/12/2018",791,39349,1147,12165,242
"05/19/2018",914,41498,1158,12266,273
"05/26/2018",1172,37488,1177,13877,260
"06/02/2018",988,35574,1255,12437,276
"06/09/2018",865,40163,1555,13022,378
"06/16/2018",854,41364,1324,11394,241
"06/23/2018",862,46803,1188,13269,291
"06/30/2018",784,40345,1105,16036,215
"07/07/2018",776,35008,1163,31200,264
"07/14/2018",750,41349,1298,21404,227
"07/21/2018",684,39556,1100,13091,238
"07/28/2018",743,36518,1082,11970,213
"08/04/2018",773,37784,1106,12259,237
"08/11/2018",724,36583,1180,12295,212
"08/18/2018",788,37089,1002,11897,183
"08/25/2018",874,35672,871,16747,224
"09/01/2018",839,35336,1710,15865,224
"09/08/2018",751,31292,1334,12100,196
"09/15/2018",837,33316,1178,12564,255
"09/22/2018",947,34287,1217,11810,234
"09/29/2018",901,33347,1115,10966,272
"10/06/2018",922,37931,1355,12678,290
"10/13/2018",1136,40584,1348,11966,562
"10/20/2018",1148,39718,1822,12610,463
"10/27/2018",1224,38048,1385,12532,443
"11/03/2018",1352,40785,1226,13257,583
"11/10/2018",1462,45002,1220,16745,503
"11/17/2018",1342,38120,1098,15079,439
"11/24/2018",1122,33919,900,15882,364
"12/01/2018",1214,54988,1217,24538,570
"12/08/2018",1231,47264,1258,15542,667
"12/15/2018",1198,47398,1118,15170,497
"12/22/2018",1111,48402,1253,16609,549
"12/29/2018",1099,38296,1240,18745,443
"01/05/2019",1240,38492,1903,45031,531
"01/12/2019",1805,53450,1720,21629,772
"01/19/2019",1423,48750,1203,16548,495
"01/26/2019",1119,56718,1084,14582,454
"02/02/2019",1145,48821,1283,18262,428
"02/09/2019",1029,44764,1171,17363,389
"02/16/2019",1022,43432,1154,13542,343
"02/23/2019",904,34363,1196,13984,387
"03/02/2019",926,40996,1278,30233,338
"03/09/2019",949,40810,1133,13719,351
"03/16/2019",955,41050,1155,12893,322
"03/23/2019",850,39760,1055,12622,344
"03/30/2019",887,38461,1249,12983,203
"04/06/2019",891,36170,1285,12550,344
"04/13/2019",992,39369,1128,12103,597
"04/20/2019",862,43854,989,12032,356
"04/27/2019",863,40225,1274,18557,286
"05/04/2019",823,38345,1120,27933,329
"05/11/2019",771,39537,1229,12534,265
"05/18/2019",819,37354,1242,11858,207
"05/25/2019",987,38188,1203,12716,217
"06/01/2019",973,34737,994,13138,440
"06/08/2019",909,41246,1571,13960,389
"06/15/2019",733,38687,1303,12245,298
"06/22/2019",754,44339,1280,11762,264
"06/29/2019",689,42360,1086,14329,348
"07/06/2019",552,35133,1439,25247,442
"07/13/2019",696,39004,1320,25361,443
"07/20/2019",649,39267,1068,11818,241
"07/27/2019",619,38378,1062,11643,178
"08/03/2019",682,35971,1136,11533,186
"08/10/2019",693,41363,1217,12148,215
"08/17/2019",698,35378,1011,12079,236
"08/24/2019",701,34547,1136,16527,239
"08/31/2019",682,34303,1058,15104,232
"09/07/2019",687,30728,1080,11549,222
"09/14/2019",716,34583,1141,12600,244
"09/21/2019",808,35102,936,10819,283
"09/28/2019",866,33187,1033,10878,298
