"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Cadillac | Ford | Honda | Kia | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DDC34BC56"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Cadillac, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Kia, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Kia, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"06/1982",9872,130,1690,410,184,280,9750,130,1690,410,184,280,,
"07/1982",10698,94,1798,474,264,286,10532,94,1798,474,264,286,,
"08/1982",10696,110,1888,498,228,306,10554,110,1886,498,228,306,,
"09/1982",10006,112,1702,390,174,280,9892,112,1702,390,174,280,,
"10/1982",10364,136,1868,306,118,288,10242,136,1868,306,118,288,,
"11/1982",9114,154,1592,198,54,316,9006,154,1590,198,54,316,,
"12/1982",9570,130,1728,218,48,316,9454,130,1728,218,48,316,,
"01/1983",7440,116,1436,198,38,264,7346,116,1434,198,38,264,,
"02/1983",7056,110,1308,172,30,256,6966,110,1306,172,30,256,,
"03/1983",7848,126,1514,196,90,314,7758,126,1514,196,90,314,,
"04/1983",8428,106,1530,312,124,278,8304,106,1530,312,124,278,,
"05/1983",9382,112,1614,410,158,294,9282,112,1608,410,158,290,,
"06/1983",9546,110,1688,426,208,292,9460,110,1686,426,208,290,,
"07/1983",10548,126,1816,562,244,360,10380,126,1814,562,244,360,,
"08/1983",10620,112,1804,550,192,320,10498,112,1802,550,192,318,,
"09/1983",10282,144,1730,464,178,348,10140,144,1730,464,178,348,,
"10/1983",10244,168,1704,368,136,340,10106,168,1704,368,136,340,,
"11/1983",9386,144,1742,230,56,330,9262,144,1740,230,56,330,,
"12/1983",9432,136,1598,238,58,398,9314,136,1596,238,58,396,,
"01/1984",7586,106,1450,206,46,278,7498,106,1450,206,46,278,,
"02/1984",7416,98,1292,234,56,244,7362,98,1292,234,56,244,,
"03/1984",8610,128,1510,300,84,332,8544,128,1510,300,84,332,,
"04/1984",8470,126,1456,308,140,334,8398,126,1456,308,140,332,,
"05/1984",9878,120,1790,500,168,318,9784,120,1790,500,168,318,,
"06/1984",10776,146,1818,558,232,358,10706,146,1818,558,232,358,,
"07/1984",10972,168,1874,568,182,412,10892,168,1874,568,182,412,,
"08/1984",11124,140,1768,638,224,382,11010,140,1766,638,224,380,,
"09/1984",10718,142,1784,578,176,390,10622,142,1784,578,176,390,,
"10/1984",10576,116,1810,398,130,342,10494,116,1808,398,130,342,,
"11/1984",9834,124,1888,268,64,336,9736,124,1888,268,64,336,,
"12/1984",9984,134,1780,360,52,380,9882,134,1780,360,52,380,,
"01/1985",8092,122,1438,176,40,330,8026,122,1438,176,40,330,,
"02/1985",7320,100,1334,220,52,322,7242,100,1334,220,52,322,,
"03/1985",8614,108,1398,374,90,346,8540,108,1398,374,90,346,,
"04/1985",9220,136,1574,494,162,338,9154,136,1574,494,162,338,,
"05/1985",10412,162,1762,590,184,426,10356,162,1762,590,184,426,,
"06/1985",10958,156,1762,622,232,378,10888,156,1762,620,232,378,,
"07/1985",10780,102,1700,692,208,390,10694,102,1700,692,208,390,,
"08/1985",11314,138,1892,590,226,462,11220,138,1892,588,226,462,,
"09/1985",10068,112,1882,488,162,388,9992,112,1878,488,162,386,,
"10/1985",10240,148,1824,428,124,422,10150,148,1824,428,124,422,,
"11/1985",10158,106,1864,308,82,428,10056,106,1860,308,82,428,,
"12/1985",9366,130,1754,238,58,338,9262,130,1754,238,58,336,,
"01/1986",8254,98,1444,226,52,368,8170,98,1444,226,52,366,,
"02/1986",7296,108,1306,218,74,316,7248,108,1306,218,74,316,,
"03/1986",8990,112,1566,356,112,412,8918,112,1564,354,112,412,,
"04/1986",9142,118,1646,406,160,384,9078,118,1646,406,160,384,,
"05/1986",10806,140,1900,540,170,452,10694,140,1900,536,170,452,,
"06/1986",11232,134,1944,602,198,402,11122,134,1944,598,198,402,,
"07/1986",11542,144,1906,704,204,448,11458,144,1906,704,204,448,,
"08/1986",12368,176,2050,636,208,482,12272,176,2046,636,208,480,,
"09/1986",10596,164,1748,488,170,436,10512,164,1746,488,170,436,,
"10/1986",10922,138,1908,386,134,500,10842,138,1908,386,134,500,,
"11/1986",10300,144,1786,384,76,446,10222,144,1786,384,76,446,,
"12/1986",10136,170,1810,314,60,430,10060,170,1810,314,60,428,,
"01/1987",8314,102,1474,238,28,352,8236,102,1474,238,28,352,,
"02/1987",7734,106,1420,244,38,300,7684,106,1420,244,38,300,,
"03/1987",8892,106,1470,338,76,450,8844,106,1470,338,76,450,,
"04/1987",9278,160,1520,412,112,416,9214,160,1518,412,112,416,,
"05/1987",10670,168,1774,584,192,478,10588,168,1774,584,192,478,,
"06/1987",11024,144,1822,574,172,390,10944,144,1822,574,172,390,,
"07/1987",11324,140,1932,612,210,510,11252,140,1932,612,210,510,,
"08/1987",12316,150,2168,596,186,488,12228,150,2168,596,186,486,,
"09/1987",10970,132,1912,514,138,506,10896,132,1912,514,138,506,,
"10/1987",11780,172,2120,486,90,514,11690,172,2120,484,90,514,,
"11/1987",10692,160,1988,350,56,458,10614,160,1988,350,56,458,,
"12/1987",10678,152,1960,338,50,496,10590,152,1960,338,50,496,,
"01/1988",8550,126,1544,214,50,386,8470,126,1544,214,50,386,,
"02/1988",8082,124,1378,274,48,410,8028,124,1378,274,48,410,,
"03/1988",9260,130,1740,348,80,432,9224,130,1740,348,80,432,,
"04/1988",9808,112,1734,428,110,420,9772,112,1734,428,110,420,,
"05/1988",10644,132,1928,510,158,488,10592,132,1928,510,158,488,,
"06/1988",11136,136,1984,542,164,472,11100,136,1984,542,164,472,,
"07/1988",11648,130,2062,524,146,494,11574,130,2058,524,146,494,,
"08/1988",11734,130,1950,600,166,572,11682,130,1950,600,166,572,,
"09/1988",11228,140,2004,506,142,478,11142,140,2002,506,142,478,,
"10/1988",11568,152,2176,436,110,520,11502,152,2176,436,110,518,,
"11/1988",10454,142,1918,342,48,482,10410,142,1918,342,48,482,,
"12/1988",11294,154,1984,308,56,578,11232,154,1984,308,56,578,,
"01/1989",9020,124,1622,288,40,432,8942,124,1622,288,40,432,,
"02/1989",7982,128,1446,238,32,428,7934,128,1444,238,32,428,,
"03/1989",9470,136,1640,358,58,492,9420,136,1640,358,58,490,,
"04/1989",9576,128,1784,402,136,444,9538,128,1784,402,136,444,,
"05/1989",10170,116,1824,490,130,530,10118,116,1824,490,130,530,,
"06/1989",10364,138,1844,446,142,490,10282,138,1844,446,142,488,,
"07/1989",11218,140,1914,576,136,514,11152,140,1914,576,136,514,,
"08/1989",11042,118,1946,500,162,538,10974,118,1946,500,162,538,,
"09/1989",10886,132,1978,464,94,524,10816,132,1976,464,94,522,,
"10/1989",11154,156,1964,416,108,542,11074,156,1964,416,108,542,,
"11/1989",9886,144,1858,346,52,498,9798,144,1858,346,52,498,,
"12/1989",10972,144,2074,360,34,542,10892,144,2074,360,34,542,,
"01/1990",8770,112,1666,248,36,490,8698,112,1666,248,36,490,,
"02/1990",7910,114,1436,250,22,384,7858,114,1436,250,22,384,,
"03/1990",9364,128,1704,368,72,502,9306,128,1704,368,72,502,,
"04/1990",9296,130,1650,408,66,422,9238,130,1648,408,66,422,,
"05/1990",10112,152,1812,428,144,476,10040,152,1812,428,144,472,,
"06/1990",10726,154,1840,530,144,544,10678,154,1840,530,144,544,,
"07/1990",11324,160,2058,574,164,590,11234,160,2056,574,164,588,,
"08/1990",11130,124,1964,544,178,532,11068,124,1964,544,178,532,,
"09/1990",10544,120,1836,514,100,470,10472,120,1836,514,100,470,,
"10/1990",10176,118,1892,390,92,610,10118,118,1892,390,92,608,,
"11/1990",9656,108,1772,372,68,486,9602,108,1772,372,68,484,,
"12/1990",9576,156,1764,330,34,576,9510,156,1760,330,34,576,,
"01/1991",7338,118,1426,192,,374,4308,118,650,152,,228,72,20
"02/1991",7294,106,1378,188,,422,4318,106,674,138,,266,90,28
"03/1991",8494,116,1474,282,,508,5128,116,732,180,,326,138,48
"04/1991",8142,96,1498,354,,420,4716,96,690,186,,264,226,98
"05/1991",9586,130,1764,482,,506,5446,130,894,224,,354,428,156
"06/1991",10136,102,1834,540,,462,5562,102,844,232,,274,444,180
"07/1991",10310,132,1818,486,,548,5552,132,808,210,,322,510,172
"08/1991",10732,148,1912,498,,554,5924,148,870,238,,356,514,162
"09/1991",9620,114,1702,412,,476,5410,114,806,202,,284,386,132
"10/1991",9762,128,1784,358,,492,5500,128,852,232,,310,284,88
"11/1991",9472,114,1764,316,,530,5630,114,822,246,,348,162,52
"12/1991",8704,102,1726,278,,476,5268,102,886,224,,276,106,34
"01/1992",7598,106,1370,216,,428,4496,106,670,176,,268,116,34
"02/1992",7178,100,1314,238,,368,4280,100,606,194,,226,122,22
"03/1992",7432,108,1282,286,,384,4420,108,676,198,,226,208,64
